,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
I1,-0.6813608973964934,0.3381082006096886,-0.07528135321261191,0.48397411893841485,-0.04723596245211487,0.29969053036856225,0.2369900380011972,-0.00255522996564394,0.1666315110766187,0.02601186197730578,0.06818021838203618,0.014975485187647894
I2a,0.27011662535717906,-0.6434017701272777,-0.5983736658201319,-0.17646036339247578,0.1432343476371696,-0.0988308589939799,0.07003169360138979,0.18637416868396509,0.21337991642915136,-0.07976441187677805,-0.041245889236308786,0.01907636487914813
I2b,-0.31087090144912893,0.8388798065718986,-0.24960042313730663,-0.07444488973888452,-0.10651680045092746,0.17467148020999193,-0.0803506611548989,0.07610576219077768,-0.08716488629118967,-0.2442619064301068,-0.10206216282455412,0.0038714261416710662
R1a,-0.41314360968742536,-0.6368081253929929,0.15070801603112952,-0.28430460647835804,-0.5460766053122615,0.08898375809936147,-0.005523820210399541,-0.08840781457377392,-0.07065368197286546,-0.017098470693634807,0.01947969674724766,0.024855028525978706
R1b,-0.057783460446050074,0.8966039258689451,0.016609527238150165,-0.2314937425323553,0.1363668062578978,-0.32232159739388067,0.05083083354086104,-0.06482229298724118,-0.031840213908146016,0.08022450227345751,0.0331009170275132,0.03284783998458934
G,0.7216418418461104,0.4331919920563869,-0.05384240432616008,0.06431826093577342,-0.2871678313863529,0.07887050568567294,-0.36743026994260525,0.17380560265922843,0.13661474189538325,0.0850190331485791,0.06883774060894442,0.0034839421427954047
J2,0.9272749556964907,0.011153288691527177,0.060626658611966276,0.1929530155062684,-0.030089710913437446,0.16287512733841222,0.03888928008507255,-0.13169323676038497,0.0004315680654581349,0.11988321470642867,-0.19562957918723975,0.014071835963415606
J1,0.8464788700260272,0.0435472441305974,0.18407450168265396,0.08589222438854785,-0.12716380598170882,-0.005895936863214404,0.30039400268290256,0.30702160464143313,-0.19449242874024256,-0.010619933781285612,0.04079611229780437,0.002763141480895674
E1b1b,0.7710618222621674,-0.19513558436156525,-0.372638407235323,0.010890782686119855,0.2709513892421965,0.2706654479930234,-0.08854023848450336,-0.17651422320987997,-0.1514711387817901,-0.06859772264415123,0.12220189169920413,0.012419243323236018
T,0.769869434527012,0.025220065038883036,0.38604945633371207,0.26480097782744055,-0.14834180963445734,-0.2544500946642868,0.04890461150745917,-0.17679052426227887,0.14289436100939887,-0.21370230274138224,0.032038959509085,0.0007748025396851465
Q,-0.25870672309070775,-0.16237421605648653,-0.6742838666105369,0.5374385695413385,-0.19981850996099743,-0.3045384562132225,-0.07525635640643916,-0.027008237295909607,-0.15226897929537936,0.028707562716209344,-0.011492426215541956,0.0006182358448093228
N,-0.440610041247095,-0.4150856374611358,0.5935698073919647,0.33547544090676834,0.28449558158654825,-0.019935257122680274,-0.23649193262955895,0.15131424869390062,-0.06992348374488251,-0.05043261489533078,-0.02532386213319494,0.021545086070132034
