Componenta,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
C1,4.353316877444586,4.353316877444586,36.277640645371555,36.277640645371555
C2,2.8684769921796427,7.2217938696242285,23.90397493483036,60.181615580201914
C3,1.584342912518796,8.806136782143025,13.2028576043233,73.38447318452522
C4,0.9256970449367975,9.731833827079821,7.71414204113998,81.0986152256652
C5,0.6667152163094208,10.398549043389242,5.555960135911841,86.65457536157705
C6,0.505830747078178,10.90437979046742,4.215256225651484,90.86983158722853
C7,0.3687161556562045,11.273095946123625,3.0726346304683716,93.9424662176969
C8,0.28040318738200554,11.55349913350563,2.3366932281833797,96.27915944588028
C9,0.21482902733741416,11.768328160843044,1.7902418944784515,98.06940134035874
C10,0.14888608447413498,11.91721424531718,1.2407173706177916,99.31011871097652
C11,0.07964864061005425,11.996862885927234,0.6637386717504522,99.97385738272698
C12,0.0031371140727641917,11.999999999999998,0.026142617273034935,100.00000000000001
